index,input,xml_node_count,xml_tags,action_condition_names,has_navigation,has_recovery,has_operation,has_recovery_node,has_pick_place,parse_error
109,"The behavior tree defines a simple task for a robot to search for a person. It consists of a sequence with one action, ""SearchAction,"" which instructs the robot to search for a person. Additionally, there are two defined actions in the TreeNodesModel: ""FollowAction"" and ""SearchAction."" The ""FollowAction"" allows the robot to follow an objective, while the ""SearchAction"" enables the robot to turn itself while searching for an objective.

In summary, the behavior tree directs the robot to perform a search action to locate a person. If needed, it can also be expanded to include following the person once found.",9,Action;BehaviorTree;Sequence;TreeNodesModel;input_port;root,FollowAction;SearchAction;input_port,False,False,True,False,False,
110,"The behavior tree outlines the decision-making process for various animal behaviors. The tree consists of a main fallback sequence with multiple sub-sequences and a separate sub-tree for shedding behavior.

In the main sequence, the animal will attempt to perform actions based on its characteristics. If it's male and adult, it will try to have sex. If it's female and ready to give birth, it will give birth. If it's an egg layer, it will lay eggs. If it's a producer, it will produce. If none of these conditions are met, it will execute the shedding sub-tree.

The shedding sub-tree contains sequences for different shed-related scenarios. It includes actions such as leaving the shed, finding random pasture fields, moving, grazing, finding the shed at night, entering the shed, and random movement during the day.

Overall, the behavior tree models the decision-making process for animal behaviors including reproduction, shedding, movement, and feeding based on various conditions and actions.",77,Action;BehaviorTree;Condition;FallbackStar;Inverter;SequenceStar;SubTree;TreeNodesModel;root,CanHaveSex;EatPrey;EnterShed;FindPrey;FindRandomPastureField;FindRetreat;FindShed;GiveBirth;Graze;IsAdult;IsCarnivore;IsDay;IsEgg;IsEggLayer;IsFemale;IsHerbivore;IsHungry;IsInShed;IsMale;IsNight;IsOnPasture;IsPregnant;IsProducer;IsReadyToGiveBirth;IsWoodVermin;IsYoung;KillPrey;LayEgg;LeaveShed;Move;Produce;RandomMove;Sleep;TryHaveSex,False,False,False,False,False,
111,"The behavior tree orchestrates a robot's movement to three different goals (Goal_a, Goal_b, Goal_c) in a repeated sequence for 3 cycles. The robot is directed to move to each goal sequentially and then verbalize its arrival at each location using a text-to-speech action. This process is repeated for the specified number of cycles. The ""MoveRobot"" behavior tree handles the navigation to the given target locations.

Overall, the behavior tree outlines a task for the robot to autonomously navigate to multiple predefined goals, perform actions at each location, and repeat this process for a set number of cycles.",17,BehaviorTree;Nav2Client;Repeat;Sequence;SetBlackboard;SubTree;TextToSpeechActionClient;root,Nav2Client;SetBlackboard;TextToSpeechActionClient,True,False,False,False,False,
112,"The behavior tree consists of a single action where a text-to-speech message is sent, saying ""Are we done? Can I go watch Westworld now?"" This suggests that the robot or system using this behavior tree is programmed to communicate verbally, possibly to inquire about task completion and express a desire to engage in another activity.",4,BehaviorTree;Sequence;TextToSpeechActionClient;root,TextToSpeechActionClient,False,False,False,False,False,
113,"The behavior tree is designed to make a robot speak to a player. It will first say ""Hello (player)"" and then ask ""How are you?"" The sequence will keep running until it fails, ensuring that both messages are communicated to the player.",6,BehaviorTree;KeepRunningUntilFailure;Sequence;TextToSpeechActionClient;root,TextToSpeechActionClient,False,False,False,False,False,
114,"The behavior tree consists of a single node, ""Drop"", within a sequence called ""root_sequence"". The purpose of this behavior tree is to execute the ""Drop"" action as part of the ""root_sequence"". However, without further context or details about the ""Drop"" action, it's challenging to provide a more specific summary.",4,BehaviorTree;Drop;Sequence;root,Drop,False,False,True,False,False,
115,"The behavior tree is designed to control a complex robotic system. It consists of multiple actions and conditions that are executed in a specific sequence, with the ability to repeat the entire sequence for a defined number of cycles.

The tree starts by checking certain conditions (LTLPreCheck) and executing actions based on the current state and desired sequences. It then enters a reactive sequence where it performs various actions such as locomotion status checks, recovery stands, and different types of movements like picking, dropping, guiding, etc. The sequence also includes handling replanning requests at different levels based on the current state and executed sequences.

The tree continuously updates the action sequences and the current state based on the performed actions. It allows for synchronization of transitions between different actions and handles failures using fallback mechanisms.

Overall, the behavior tree orchestrates the complex decision-making and control logic required for the robotic system to perform tasks, handle contingencies, and update its state effectively.",97,Action;AlwaysFailure;BehaviorTree;Condition;Delay;Fallback;ForceFailure;ReactiveSequence;Repeat;RetryUntilSuccesful;Sequence;Switch6;TreeNodesModel;inout_port;input_port;output_port;root,BackNormalAction;DropAction;GuideAction;LTLPreCheck;LocomotionStart;LocomotionStatusCheck;MoveAction;PickAction;ReactiveLTLStateCheck;RecoveryStand;ReplanningRequestLevel1;ReplanningRequestLevel2;ReplanningRequestLevel3;StayAction;SynchronizedTransitionAction;UpdateLTL;inout_port;input_port;output_port,True,True,True,False,True,
116,"The behavior tree is designed to control a robot's navigation by continuously replanning its global path after every 1 meter of movement. It utilizes a pipeline sequence consisting of two main components: the DistanceController and FollowPath. The DistanceController triggers the computation of a new path to the goal pose using the GridBased planner whenever the robot has moved 1 meter. Once the new path is computed, the FollowPath component guides the robot along the newly calculated path. This approach ensures that the robot dynamically adjusts its path as it progresses towards its goal, allowing for efficient and adaptive navigation in changing environments.",6,BehaviorTree;ComputePathToPose;DistanceController;FollowPath;PipelineSequence;root,ComputePathToPose;FollowPath,True,False,False,False,False,
117,"The behavior tree is designed for a robot to navigate its global path, with periodic replanning at 1 Hz and recovery actions in case of failures. The RecoveryNode specifies the number of retries as 6, indicating the maximum attempts for recovery. Within the main sequence, the robot uses a PipelineSequence named ""NavigateWithReplanning"" that includes rate control for replanning and follows a series of recovery nodes.

The first recovery node, ""ComputePathToPose"", computes a new path to the goal using a GridBased planner and clears the global costmap contextually. The second recovery node, ""FollowPath"", directs the robot to follow the computed path and clears the local costmap contextually.

In case of failure, the ReactiveFallback ""RecoveryFallback"" triggers recovery actions including clearing both the local and global costmaps, spinning the robot, and waiting for a duration before retrying. This approach ensures the robot's navigation resilience by handling failures and dynamically replanning its path when necessary.",18,BehaviorTree;ClearEntireCostmap;ComputePathToPose;FollowPath;GoalUpdated;PipelineSequence;RateController;ReactiveFallback;RecoveryNode;SequenceStar;Spin;Wait;root,ClearEntireCostmap;ComputePathToPose;FollowPath;GoalUpdated;Spin;Wait,True,True,False,True,False,
118,"The behavior tree outlines a sequence of tasks for a robotic system. The robot is programmed to perform the following tasks in sequence: 
1. Push a puck
2. Retrieve an object labeled ""G""
3. Weigh the retrieved object
4. Perform a snowplow maneuver

Each task involves a series of sub-tasks such as moving ahead, turning, manipulating clamps, and waiting at specific points. For example, pushing the puck involves moving forward, turning, and manipulating the clamp. Retrieving the object labeled ""G"" includes opening/closing the clamp, moving forward, and manipulating the clamp again. Weighing the object involves moving backward, turning, reaching a specific point, moving towards a scale, and manipulating the clamp.

The overall goal appears to be a complex series of actions that involve precise movement and manipulation to accomplish various objectives, likely within a larger robotic system or competition scenario.",42,Avoid;BehaviorTree;Condition;Fallback;Move;MoveAX_1;MoveAX_2;MoveAX_3;MoveAX_4;MoveAhead;OpenClamp;ReactiveSequence;Sequence;SubTree;Turn;root,NoObstacle,False,True,True,False,True,"mismatched tag: line 73, column 6"
119,"The behavior tree is designed to handle an emergency situation. It prompts for user input to confirm if the emergency has been resolved by asking ""Emergency finished?"". If the user responds with 'y' (yes), indicating that the emergency is resolved, the behavior tree will proceed accordingly. If the response is anything other than 'y', it implies that the emergency is ongoing and further actions may be required. This behavior tree seems to serve as a simple decision-making process to determine whether the emergency situation has been resolved based on user input.",5,BehaviorTree;CheckBlackboard;Sequence;StringParameterRequest;root,CheckBlackboard;StringParameterRequest,False,False,False,False,False,
120,"The behavior tree represents a decision-making process for a robot navigating through obstacles. The robot first attempts to pass through a door, but if the door is closed, it will try to open it and then pass through. If the door remains closed after multiple attempts, the robot will resort to passing through a window instead.

In summary, the behavior tree outlines the robot's navigation strategy by prioritizing passing through a door if it's open, attempting to open the door if it's closed, and ultimately resorting to passing through a window if the door cannot be opened after several attempts.",15,BehaviorTree;Fallback;Inverter;IsDoorOpen;OpenDoor;PassThroughDoor;PassThroughWindow;RetryUntilSuccesful;Sequence;SubTree;root,IsDoorOpen;OpenDoor;PassThroughDoor;PassThroughWindow,False,True,False,False,False,
121,"The behavior tree orchestrates a robot's movement based on the detection of specific objects. The robot is initially given three goals: Goal_a, Goal_b, and Goal_c. It then continuously repeats a sequence where it checks for the presence of different objects (cat, dog, cow) using OpenVINOEvent. If an object is detected, the robot will move towards the corresponding goal associated with that object. This process continues indefinitely as indicated by the num_cycles=""-1"" attribute in the Repeat node.

In summary, the behavior tree enables the robot to navigate towards predefined goals based on the detection of specific objects, allowing for adaptive and reactive behavior in its environment.",24,BehaviorTree;Fallback;ForceSuccess;Nav2Client;OpenVINOEvent;Repeat;Sequence;SetBlackboard;SubTree;root,Nav2Client;OpenVINOEvent;SetBlackboard,True,False,True,False,False,
122,"The behavior tree outlines a sequence of movements for a robot. It instructs the robot to move forward by 50 units, then turn 90 degrees, move ahead by 120 units, turn -90 degrees, move ahead by 800 units, turn -90 degrees, move ahead by 460 units, turn -90 degrees, move forward by 600 units, move back by 600 units, and finally move forward by 600 units.

In summary, the behavior tree directs the robot through a specific path involving a series of movements and turns to navigate a predefined route.",14,BehaviorTree;MoveAhead;Sequence;Turn;root,MoveAhead;Turn,False,False,False,False,False,
123,"The behavior tree outlines a sequence of actions for a robotic arm. Initially, it adds collision objects to the scene, including a ground plane, walls, and a conveyor. Then, it adds a box surface and executes a series of movements to pick, manipulate, and place boxes in two different sequences - ""left"" and ""right"". Each sequence involves precise joint state adjustments, object removals, picking, lifting, shifting, placing, and adding box surfaces. The tree also includes various utility actions such as connecting waypoints, planning, executing suction, fetching detected information, sensing object pose, storing detected information, and typing in a pose on the blackboard.

In summary, the behavior tree orchestrates the robotic arm's actions to set up the environment, perform specific manipulations with boxes, and execute various utility tasks related to object detection and manipulation.",130,Action;BehaviorTree;Repeat;Sequence;TreeNodesModel;input_port;output_port;root,ConnectWaypoints;ExecuteAddBox;ExecuteAddPlane;ExecuteAttachBox;ExecuteDetachObject;ExecuteGroupAngularJointStates;ExecuteGroupLinearJointStates;ExecuteGroupManyPoses;ExecuteGroupPose;ExecuteGroupShift;ExecutePlanning;ExecuteRemoveObject;ExecuteSuction;FetchDetectedInfo;SenseObjectPose;StoreDetectedInfo;TypeInPose;input_port;output_port,True,False,True,False,True,
124,"The behavior tree consists of a single task, ""Go_point"", which directs the robot to move towards a specific destination. The tree is straightforward, with no complex branching or conditional logic. Its primary function is to guide the robot to the designated point.",3,BehaviorTree;Go_point;root,Go_point,True,False,False,False,False,
125,"The behavior tree is designed to demonstrate the generation of a Fibonacci sequence. It starts by printing a message indicating the start of the Fibonacci demo. Then, it attempts to set the value of the Fibonacci order but this part is commented out. After that, it prints a message indicating the order of the Fibonacci sequence and then proceeds to calculate the Fibonacci sequence using the specified order. Finally, it prints the generated Fibonacci sequence.

Overall, the behavior tree's main task is to showcase the process of generating a Fibonacci sequence and display the order and the resulting sequence.",9,BehaviorTree;Fibonacci;Print;Sequence;root,Fibonacci;Print,False,False,False,False,False,
126,"The behavior tree defines a sequence of actions for controlling a robotic arm. The robot is programmed to perform a series of movements and poses, including going to a prepare pose, lowering its position, and executing a plan to draw a square trajectory. Additionally, there are provisions for executing all plans and poses for multiple groups, allowing collision detection, specifying time stamps, and setting goals for each group.

The behavior tree utilizes various actions such as executing joint states, executing poses, and executing plans, with parameters for goals, group names, service names, tolerance, and timestamps. These actions enable the robot to perform complex tasks involving precise movements and coordinated actions.

Overall, the behavior tree orchestrates a sequence of actions to control the robotic arm, facilitating specific movements and poses while providing flexibility for executing plans and poses across multiple groups.",44,Action;BehaviorTree;Sequence;TreeNodesModel;input_port;root,ExecuteAllPlans;ExecuteAllPoses;ExecuteGroupAngularJointStates;ExecuteGroupLinearJointStates;ExecuteGroupPlan;ExecuteGroupPose;input_port,True,False,False,False,False,
127,"The behavior tree represents a sequence of actions for a robot to navigate through a building. The robot is initially programmed to attempt passing through windows in different sequences, with the option to fallback if unsuccessful. If the fallback occurs, it will then proceed to close a door. The specific sequences involve multiple passes through windows and ultimately a door. The tree includes various actions such as ""PassThroughWindow"" and ""CloseDoor"", along with conditions like ""IsDoorOpen"". Overall, the robot's task involves navigating through the building by passing through windows and closing a door, with the ability to handle fallbacks during the process.",30,Action;BehaviorTree;Condition;Fallback;Sequence;SubTree;TreeNodesModel;root,CloseDoor;IsDoorOpen;OpenDoor;PassThroughDoor;PassThroughWindow,False,False,False,False,False,
128,"The behavior tree represents a scenario where a robot needs to navigate through a door or window. The robot first attempts to pass through the door, and if it's open, it does so directly. If the door is closed, the robot tries to open it up to 4 times before passing through. If both door options fail, the robot will resort to passing through the window. After completing any of these actions, the robot then proceeds to close the door.

In summary, the behavior tree outlines a decision-making process for the robot to navigate through an obstacle (door or window) while ensuring that the door is eventually closed after passing through it.",22,Action;BehaviorTree;Condition;Fallback;Inverter;RetryUntilSuccesful;Sequence;SubTree;TreeNodesModel;root,CloseDoor;IsDoorOpen;OpenDoor;PassThroughDoor;PassThroughWindow,False,True,False,False,False,
129,"The behavior tree consists of a sequence of actions. When executed, it will perform the following tasks in order: 
1. Execute ""go1"" action
2. Set the value of ""${valueA}"" to 8
3. Execute ""go2"" action

The behavior tree contains additional actions (""go3"" to ""go9"") which are not utilized in the main sequence. These actions may be part of the overall system but are not directly involved in the main task described by the behavior tree.",16,Action;BehaviorTree;Sequence;SetBlackboard;TreeNodesModel;root,SetBlackboard;go1;go2;go3;go4;go5;go6;go7;go8;go9,False,False,False,False,False,
130,"The behavior tree defines a sequence of actions to be executed. The actions involve input and output ports, where some actions have default values for their ports. These actions are named ""inOnlyA,"" ""inOnlyB,"" ""outOnlyA,"" ""outOnlyB,"" ""outOnlyC,"" ""outOnlyD,"" ""outOnlyE,"" and ""outOnlyF."" 

In the sequence, ""inOnlyA"" and ""inOnlyB"" actions are performed with specific input values or defaults. Then, ""outOnlyA,"" ""outOnlyB,"" ""outOnlyC,"" ""outOnlyD,"" ""outOnlyE,"" and ""outOnlyF"" actions are executed, each producing an output value.

The XML also includes a TreeNodesModel that further details the input and output ports for each action.

Overall, this behavior tree seems to represent a series of interconnected actions with input and output data flow, possibly as part of a larger system or process.",30,Action;BehaviorTree;Sequence;TreeNodesModel;input_port;output_port;root,inOnlyA;inOnlyB;input_port;outOnlyA;outOnlyB;outOnlyC;outOnlyD;outOnlyE;outOnlyF;output_port,True,False,False,False,False,
131,"The behavior tree is designed for a robot to navigate while continuously replanning its global path after every 1 meter of movement. It uses a PipelineSequence consisting of two steps: 
1. DistanceController: This step computes a new path to the goal pose using the ""GridBased"" planner whenever the robot has moved 1 meter.
2. FollowPath: The robot then follows the computed path using the specified controller.

This approach ensures that the robot dynamically adjusts its path to reach the goal, taking into account any changes in the environment or obstacles encountered during navigation.",6,BehaviorTree;ComputePathToPose;DistanceController;FollowPath;PipelineSequence;root,ComputePathToPose;FollowPath,True,False,False,False,False,
132,"The behavior tree is designed for a robot to navigate with periodic global path replanning at 1 Hz and includes recovery actions. It uses a recovery node with a set number of retries, and within it, a pipeline sequence for navigation with replanning. The rate controller ensures the frequency of path computation. If there are failures in computing or following the path, recovery nodes handle retries and recovery actions such as clearing costmaps, spinning, and waiting. The reactive fallback handles goal updates and triggers recovery actions when necessary. This behavior tree aims to ensure robust navigation by periodically replanning the path, handling failures, and recovering from unexpected situations.",18,BehaviorTree;ClearEntireCostmap;ComputePathToPose;FollowPath;GoalUpdated;PipelineSequence;RateController;ReactiveFallback;RecoveryNode;SequenceStar;Spin;Wait;root,ClearEntireCostmap;ComputePathToPose;FollowPath;GoalUpdated;Spin;Wait,True,True,False,True,False,
133,"The behavior tree consists of a single sequence that instructs the robot to move towards a specified goal. The goal is provided as an argument, allowing for flexibility in defining the target location for the robot to move to. This behavior tree is simple and direct, with the main task being to execute the ""move"" action within the defined sequence.",4,BehaviorTree;Move;Sequence;root,Move,True,False,False,False,False,
134,"The behavior tree orchestrates a sequence of actions for a robotic system. It begins by updating the planning scene, possibly to incorporate any changes in the environment. Following this, it pauses execution for 3 seconds, allowing time for the updated information to be processed or for other concurrent tasks to occur. This behavior tree seems to be part of a larger system that manages the robotic system's activities and responses within its environment.",5,BehaviorTree;Pause;Sequence;TrayUpdatePlanningScene;root,Pause;TrayUpdatePlanningScene,False,False,False,False,False,
135,"The behavior tree orchestrates a sequence of actions for a robot. Initially, it adjusts the head and torso positions before moving to specific locations using the base. Subsequently, it manipulates the arm joints to assume different poses at each location. The head and torso adjustments are made in between movements. Finally, the robot returns to a resting pose.

In summary, the behavior tree commands the robot to perform a series of coordinated movements and pose adjustments, demonstrating a predefined set of actions that the robot should execute sequentially.",28,BehaviorTree;GetArmJointsForPose;HeadControl;MoveBase;Sequence;SetArmJointsLeft;SetArmJointsRight;TorsoControl;root,GetArmJointsForPose;HeadControl;MoveBase;SetArmJointsLeft;SetArmJointsRight;TorsoControl,True,False,False,False,False,
136,"The behavior tree is designed for a system to dynamically navigate towards a certain pose while continuously replanning its path. The system operates at a frequency of 1 Hz and follows a sequence that involves updating the goal, computing a path to the updated goal using a GridBased planner, truncating the computed path to a certain distance, and then continuously following the truncated path until failure. This approach allows the system to adapt to changes in the environment or the goal pose by updating the path and ensuring it can navigate to the desired location effectively.",10,BehaviorTree;ComputePathToPose;FollowPath;GoalUpdater;KeepRunningUntilFailure;PipelineSequence;RateController;Sequence;TruncatePath;root,ComputePathToPose;FollowPath;TruncatePath,True,False,False,False,False,
137,"The behavior tree consists of a Reactive Sequence that includes a custom condition and a custom action. When executed, the behavior tree will evaluate the custom condition and then perform the custom action based on the result of the evaluation. This structure allows for reactive decision-making, where the robot can respond to changing conditions by executing the specified action.",5,Action;BehaviorTree;Condition;ReactiveSequence;root,ActionExample;ConditionExample,False,False,False,False,False,
138,"The behavior tree outlines a navigation system for a robot that involves periodic global path replanning at a frequency of 1 Hz. The robot's movement is controlled by a pipeline sequence consisting of a speed controller and a path following component. The speed controller regulates the robot's speed based on the planned path, with the ability to adjust the speed between a minimum and maximum rate. Additionally, it computes the path to a specified goal using the ""GridBased"" planner and filters the computed path over a duration of 0.3 seconds. Subsequently, the FollowPath component directs the robot to follow the computed path. This behavior tree ensures that the robot navigates while continuously updating its global path to adapt to changing environmental conditions.",6,BehaviorTree;ComputePathToPose;FollowPath;PipelineSequence;SpeedController;root,ComputePathToPose;FollowPath,True,False,False,False,False,
139,"The behavior tree outlines a task for an agent to perform over 100 cycles. During each cycle, the agent is expected to execute three actions in parallel: engage in a dialog, perform a social navigation action (specifically escorting), and potentially respond to a stop condition. The success of the overall task is determined by the successful completion of at least one of these actions within each cycle. If all actions fail, the cycle is considered a failure.

This behavior tree seems to represent a scenario where an agent is repeatedly engaging in social interactions and navigation tasks, with the expectation that at least one of these actions will be successfully completed within each cycle. The use of repetition and parallel execution suggests a continuous and adaptive engagement with the environment, possibly in a social or interactive context.",7,BehaviorTree;Dialog;Parallel;Repeat;Sequence;SocialNav2Action;root,Dialog;SocialNav2Action,True,False,False,False,False,
140,"The behavior tree represents the decision-making process for an animal, likely a predator or prey. The tree includes various sequences and fallbacks to determine the animal's actions based on its current state and environmental conditions.

The main sequence consists of:
1. Attempting to get a target
2. Moving towards the target
3. If the target is adjacent, attacking it

If the above sequence fails, the tree falls back to other options such as hunting, retreating, or making a random move. These fallbacks are determined by conditions like time of day, hunger, and reproductive status.

Additionally, the tree contains a range of actions and conditions that govern the animal's behavior, including finding prey, eating, sleeping, and reproducing.

Overall, the behavior tree simulates the decision-making process of an animal in a dynamic environment, considering factors such as survival, reproduction, and sustenance.",55,Action;BehaviorTree;Condition;FallbackStar;Sequence;SequenceStar;TreeNodesModel;root,AttackTarget;CanHaveSex;EatPrey;FindPrey;FindRetreat;GetTarget;GiveBirth;IsAdult;IsCarnivore;IsDay;IsEgg;IsEggLayer;IsFemale;IsHerbivore;IsHungry;IsMale;IsNight;IsPregnant;IsProducer;IsReadyToGiveBirth;IsWoodVermin;IsYoung;KillPrey;LayEgg;Move;Produce;RandomMove;Sleep;TargetAdjacent;TryHaveSex,False,False,False,False,False,
141,"The behavior tree represents a complex set of tasks for a robot. It includes various sub-trees and actions such as moving towards specific goals, interacting with objects using a robotic arm, reacting to events like ""gohome"" or ""IsArretUrgence"", and making decisions based on conditions like the presence of certain objects or the robot's movement status.

The main behavior tree (""BehaviorTree"") orchestrates the robot's high-level behavior, including handling emergency stops, checking for the presence of a key, initializing the robot, and performing specific tasks at yellow and violet camps.

Additionally, there are sub-trees for specific tasks such as taking and placing pallets, testing different suction cups, and dealing with goldenium. These sub-trees involve intricate sequences of movements and interactions with the environment.

Overall, the behavior tree outlines a comprehensive set of behaviors for the robot, encompassing navigation, manipulation of objects, decision-making based on environmental conditions, and reacting to external events.",363,Action;BehaviorTree;Condition;Control;Fallback;Inverter;ReactiveFallback;ReactiveSequence;Sequence;SequenceStar;SubTree;TreeNodesModel;input_port;output_port;root,AfficheYeux;AfficherLeScore;AjouterAuScore;Aller;AreEncodersOk;Arreter le robot;ArreterLaMinuterie;Attendre;Bras;Control;DefinirLeScore;DefinirPosition;DefinirTempsMinuterie;InitialiserPosition;IsArretUrgence;IsCampViolet;IsPaletCentre;IsPaletDroit;IsPaletGauche;IsRobotEnMouvement;IsTirettePresente;IsVentouseCentre;IsVentouseDroite;IsVentouseGauche;JouerUnRosbag;LaVoieEstLibre-Derriere;LaVoieEstLibre-Devant;LaVoieEstLibre-Droite;LaVoieEstLibre-Gauche;LancerLaMinuterie;MinuterieDemarree;MinuterieNonEcoulee;Pince;RecupererLeScore;RobotEnBonneSante;RobotPret;ScoreInferieurA;ScoreSuperieurA;TiretteLaserPresente;VitesseConstante;checkPosition;input_port;output_port,False,False,False,False,False,
142,"The behavior tree represents a decision-making process for an autonomous vehicle. The vehicle's actions are determined by various conditions and sequences within the tree. 

The tree starts with a fallback node, which contains multiple sequences and conditions. It checks for mission wait, existence of a global path, and potential lane changes based on certain conditions. If these conditions are met, it initializes actions such as generating paths, changing lanes, or following a global path.

Further, the tree evaluates if there are obstacles in front, and based on that, decides whether to change lanes, follow local paths, or stop. Additionally, it considers factors like proximity to stop lines and corners, collision risks, and profitability of keeping the current lane.

Overall, the behavior tree orchestrates the vehicle's decision-making process, encompassing actions related to navigation, obstacle avoidance, lane changes, and path following based on a set of predefined conditions and sequences.",137,Action;BehaviorTree;Condition;Fallback;Sequence;SubTree;TreeNodesModel;root,acc;checkCollision;checkEmptyLocal;checkExistPathGlobal;checkFinishLocal;checkFrontObject;checkGenPathLaneChange;checkGlobalLaneChange;checkInitPose;checkIsGlobalFollow;checkLaneChange;checkLeftChange;checkLeftchageAble;checkMissionWait;checkNearCorner;checkNearStopline;checkPassAble;checkProfitKeeplane;drive;genGlobalFollowPath;genLocalPath;genPathLaneChangeLeft;genPathLaneChangeRight;init;keepLane;laneChangeLeft;laneChangeRight;localPathFollow;localPathfollow;setFinishLocal;setPath;setStartLocal;stop,True,True,True,False,False,
143,"The behavior tree is a simple one that instructs the system to execute a single task, which is to speak the text ""Das ist ein Testtext"". There are no conditional behaviors or complex sequences involved. The system will directly execute the Speak task without any interruption or branching.",4,BehaviorTree;SequenceStar;Speak;root,Speak,False,False,False,False,False,
144,"The behavior tree represents a robotic system that reacts to different conditions while attempting to achieve a specific goal. The robot first checks the distance between its end effector and a target position, then proceeds with a sequence of actions based on the outcome of this check. If the end effector's y-coordinate is below a certain threshold, it performs a set of movements to reach a third goal. If the end effector's z-coordinate is above a specified threshold, it executes a series of movements to reach a second goal. Finally, regardless of the previous conditions, the robot sets a first goal for its motion planning. This behavior tree allows the robot to dynamically respond to its environment and adjust its actions based on real-time feedback.",11,BehaviorTree;EEPositionDistance;EEYThreshold;EEZThreshold;ReactiveFallback;ReactiveSequence;SetMGGoal;root,EEPositionDistance;EEYThreshold;EEZThreshold;SetMGGoal,True,False,False,False,False,
145,"The behavior tree represents a robotic system with various actions and behaviors. The robot is programmed to perform multiple tasks simultaneously using the ""Parallel"" node, such as executing a variant action repeatedly and moving to different positions based on a switch case. It also includes sequences of actions for specific cases within the switch case.

Additionally, it contains a set of defined actions that the robot can perform, including activating localization, approaching a location or wall, getting base charging status, obtaining person pose, initializing navigation, loading maps, moving robot position and orientation, recognizing people, setting robot pose, and starting/stopping joystick and reactive navigation.

Overall, the behavior tree orchestrates the robot's activities by coordinating parallel and sequential execution of tasks, allowing it to perform complex behaviors involving movement, perception, and decision-making.",52,Action;BehaviorTree;Parallel;Repeat;Sequence;Switch2;TreeNodesModel;input_port;output_port;root,VariantAction;activateLocalization;approachLocation;approachWall;deactivateLocalization;getBaseCharging;getPersonPose;initNavigation;input_port;loadMap;loadNavigationMap;moveRoboterBackwardsLocation;moveRoboterBackwardsRelative;moveRoboterOrientateRobotAbs;moveRoboterOrientateRobotRel;moveRoboterPosition;output_port;peoplerecognition;setRobotPose;startJoystickNavigation;startReactiveNavigation;stopJoystickNavigation;stopReactiveNavigation;triggerGlobalLocalization,False,False,False,False,False,
146,"The behavior tree represents a sequence of actions for a robotic system. The robot is programmed to perform a series of tasks in a specific order, with each task having a defined duration. The tasks include waiting for a specified duration, moving towards predefined goals, and performing various operations such as logging information, subscribing to topics, and publishing messages.

Additionally, the behavior tree includes various utility nodes for handling conditions, looping, and data manipulation. These utility nodes enable the robot to interact with its environment, make decisions based on received data, and control its movements.

Overall, the behavior tree orchestrates the robot's behavior by defining a structured set of actions and decision-making processes, allowing it to navigate, interact with its surroundings, and execute tasks autonomously.",242,Action;BehaviorTree;Condition;Control;Decorator;ForceSuccess;Repeat;Sequence;TreeNodesModel;input_port;output_port;root,CallEmptyService;CheckBool;CheckKey;CompareNumbers;CompareStrings;ConcatenateStrings;Control;ConvertJsonToDouble;ConvertJsonToInt64;ConvertJsonToString;ConvertJsonToUint64;ConvertMessageField;ConvertRandomMessageField;CopyJson;DebugLog;Decorator;ErrorLog;FatalLog;FindByFieldValue;FindSubstrings;GetJsonSize;GetKeyboard;GetMessageField;GetRandomMessageField;GetTransformDistance;GetTransformHorizontalDistance;GetTransformOrigin;InfoLog;InitializeJson;InterpolateFloat;LookupTransform;MathOperationFloat;MathOperationInt;MonitorStdBool;MonitorStdFloat64;MonitorStdInt32;OStreamNode;PublishBool;PublishStdString;RandomFloat;RandomInteger;RandomSequenceValue;SubscribeUPOGoal;UPOFireDetection3D;UPOFireExtinguish;UPOGoToGoal;UPOGoToGoalByName;UPOLanding;UPOTakeOff;UPOWindowDetection;WaitMilliseconds;WaitSeconds;WarnLog;input_port;output_port,True,True,True,False,False,
